text,y
깔끔하게 부직포 포장으로 되어 있어서,3
금방 우러난다.,3
신선한 한약풀 냄새가,3
기분이 좋아졌다.,3
효과까지는 모르겠는데,2
효과가 있었으면 좋겠네.,3
대만족이라,4
다음에는 상쾌하게 박하 사고 싶다.,3
혹시 오래된 거 팔지 않나 고민했었는데,1
쑥향기 자체가 페퍼민트처럼 신선하고,3
포장도 깔끔하고,3
사용도 간편하고,3
좋아하지 않았는데,1
약용까지는 몰라도,2
피로도 확 풀리고,4
기분도 좋아지고,3
돈 아깝다는 생각은 안 든다.,3
기어가 헛돌면서,1
틱틱 소리가 나서,1
경악.,0
"삐꾸를 준 거 아냐 불안하고,",1
거금 투자한 게 왜 이래..,1
정이 확 떨어졌는데,0
라이딩이 아주 즐거워져서,4
만족스럽게 탔다.,3
안장도 딱딱해서,1
엉덩이가 아팠는데,1
되게 훌륭한 거라는..,4
내장 기어 3단은 썩 좋은 물건이라,3
기어 변환도 부드럽고,3
깔끔하다.,3
겁나 비싸지만,0
이런 거 사서 여행 다니고 싶다.,3
3초 폴딩이라는 기적같은 간편함.,3
다 접고 펴려면 엄청 귀찮다.,0
키 170이상은 되야 편안히 탈 수 있을 거 같다.,1
너무 커.,0
보다 보니 전혀 땡기지 않는다.,0
엄청 불편하고,0
불안정해보인다.,1
사고 싶다.,3
이동도 용이하다.,3
이동이 문제.,1
무거운 건 매한가지이기 때문이다.,1
나 같이 게으르면서 간지 따지는 인간한테는 딱인데.,3
제목이 지금 내 인생 같아서 눈에 확 들어왔는데,4
썩 잘 만들었다.,4
보이시의 정석을 보여주는,2
이 자식.. 너무 멋지잖아.,4
의외로 의연한게,2
아주 잘 생겼다.,4
역시 남자는 얼굴!,3
아.. 귀여워.. ㅜ ㅜ,4
왜 이렇게 귀엽냐..,4
풍경이 무척 아릅답다.,4
진짜 웃겨.,4
뭥미.. 으하하..,1
러브라인이 젤 관심 있었기 때문에,3
이런 것만 좋아하는 거지....,3
웃는 얼굴이 너무 이쁘다.,4
자세가 제대로다.,3
멋지구나.,3
애 왜 이렇게 좋냐..ㅋㅋ,4
좋네.,3
둘 다 너무 이쁘다구요.,4
파급력은 확실할 거 같다,4
애초에 기대를 반쯤 접고 봐서,1
나쁘지는 않았는데,3
사실은 좀 흐음.. 했다.,1
스토리 라인이 너무 빈약하더군.,0
싸우는 광경은 꽤 잘 찍었다.,4
더욱 실감나기도 하고..,4
캐릭터를 십분 살려서,3
곳곳에 유머를 배치하려고 애쓴 것도 보이고,3
나도 몇 번 웃긴 했는데,3
그냥 피식 정도..,2
어떤 건 너무 의도적으로 웃기려고 한 대사라,0
전혀 우습지가 않았다.,0
